1,000000;0,540302
1,100000;0,453596
1,200000;0,362358
1,300000;0,267499
1,400000;0,169967
1,500000;0,070737
1,600000;-0,029200
1,700000;-0,128844
1,800000;-0,227202
1,900000;-0,323290
2,000000;-0,416147
2,100000;-0,504846
2,200000;-0,588501
2,300000;-0,666276
2,400000;-0,737394
2,500000;-0,801144
2,600000;-0,856889
2,700000;-0,904072
2,800000;-0,942222
2,900000;-0,970958
3,000000;-0,989992
3,100000;-0,999135
3,200000;-0,998295
3,300000;-0,987480
3,400000;-0,966798
3,500000;-0,936457
3,600000;-0,896758
3,700000;-0,848100
3,800000;-0,790968
3,900000;-0,725932
4,000000;-0,653644
4,100000;-0,574824
4,200000;-0,490261
4,300000;-0,400799
4,400000;-0,307333
4,500000;-0,210796
4,600000;-0,112153
4,700000;-0,012389
4,800000;0,087499
4,900000;0,186512
5,000000;0,283662
